english_name,thai_name,brand,price,serving_size,calories,total_fats,saturated_fat,cholesterol,protein,total_carbohydrates,dietary_fibre,total_sugars,sodium,image,category,ingredients,allergens
Khai-Tun-Cup (Steamed Egg Cup) with Minced Chicken and Vegetable Soup,ไข่ตุ้นคัพ (ไข่ตุ๋นชนิดด้วย) ผสมไก่สับและน้ำซุปผัก,CP,20,150,100,5,0.5,155,8,4,,1,540,,Sides,,
Khai-Tun-Cup (Steamed Egg Cup) with Kurobuta Pork,ไข่ตุ๋นคัพ (ไข่ตุ๋นชนิดด้วย) ผสมหมูดำคูโรบูตะ,CP,20,150,80,4.5,1,105,7,3,,1,650,,Sides,,
Khai-Tun-Cup (Steamed Egg Cup) Shrimp with Pork and Chicken,ไข่ตุ๋นคัพ (ไข่ตุ๋นชนิดด้วย) กุ้ง ผสมหมูและไก่,CP,20,150,80,4,1.5,125,6,4,,0,590,,Sides,,
"Braised eggs with tamarind sauce, Kurobuta pork.",ไข่พะโล้ยางมะตูม หมูถ่าคูโรบูตะ,CP,30,160,,,,,,,,,,,Sides,,
Braised eggs with tamarind paste,ไข่พะโล้ยางมะตูม,CP,28,,,,,,,,,,,,Sides,,
Jellyfish with Sesame Oil,แมงกะพรุนน้ำมันงา,EZYGO,25,,,,,,,,,,,,Sides,,
Chuka Wakame Salad Japanese Style,ยำสาหร่ายสไตล์ญี่ปุ่น,EZYGO,20,,,,,,,,,,,,Sides,,
Ebiko,ไข่กุ้งเอบเทะ (เช่กุ้งเทียมทำจากไข่ปลา),EZYGO,25,,,,,,,,,,,,Sides,,
Grilled Tamago with Takoyaki Sauce,ไข่หวานย่างซอสทาโกะยากิ,EZYGO,20,,,,,,,,,,,,Sides,,
Wakame Seaweed with Sesame Oil,สาหร่ายวากาเมะน้ำมันงา,EZYGO,20,,,,,,,,,,,,Sides,,
Stir-fried Instant Noodle with Imitation Crab Stick and Ebiko,บะหมี่ผัดปูอัดไข่กุ้ง (ไข่กุ้งเทียมทำจากไข่ปลา),EZYGO,45,190,340,13,4,20,8,49,,7,1240,,Noodles,,
Classic Chocolate Cake,เค้กช็อกโกแลต คลาสสิก,EZY Sweet,30,75,200,9,3.5,,3,26,3,15,150,,Dessert,,
Double Matcha Cheese cake,ดับเบิ้ลมัทฉะชีสเค้ก,CPRAM ,39,65,230,17,12,35,3,14,,10,95,,Dessert,,
Matcha Cheese Pie,มัทฉะชีสพาย,EZY Sweet,39,70,280,19,12,5,3,24,,9,140,,Dessert,,
Red Velvet Cake,เรดเวลเวทเค้ก,EZY Sweet,39,70,280,26,14,50,3,22,,16,170,,Dessert,,
Apple Cheese Cake,แอปเปิ้ลชีสเค้ก,CPRAM ,39,75,250,17,9,50,4,20,,12,170,,Dessert,,
Chiffon Cake with Thai Taro Custard,ชิฟฟ่อนเค้กหม้อแกงเผือก,EZY Sweet,39,75,190,9,4,55,4,24,,17,130,,Dessert,,
Caramel Pudding Chiffon Cake,ชิฟฟอนเค้กคาราเมลพุดดิ้ง,EZY Sweet,29,85,170,7,4,135,5,23,,18,75,,Dessert,,
Jumbo Big Pao Minced Pork with Salted Egg (Steamed Bun),จัมโบ้บิ๊กเปาหมูสับไข่เค็ม (ซาลาเปา),EZYGO,,120,310,12,4,115,10,41,,7,410,,Dimsum,,
